id_brand;brand
1;ALE
2;ALPINESTARS
3;BELL
4;BH
5;BNB RACK
6;BRYTON
7;CAMELBACK
8;CANNONDALE
9;CASTELLI
10;CATEYE
11;CONOR
12;CONTINENTAL
13;CRANKBROTHERS
14;CRUZ
15;CUBE
16;ELTIN
17;ENDURA
18;ERGON
19;FIZIK
20;FOX
21;GARMIN
22;GIANT
23;GIRO
24;GOBIK
25;GORE
26;HAST
27;KIMOA
28;LIV
29;MARZOCCHI
30;MAVIC
31;MAXXIS
32;MENABO
33;MERIDA
34;NUTRISPORT
35;OAKLEY
36;ORBEA
37;ORTLIEB
38;PODIUM
39;POLAR
40;RYME BIKES
41;SCOTT
42;SELLE ITALIA
43;SHIMANO
44;SIDI
45;SIGMA
46;SPECIALIZED
47;SPIUK
48;SPORTFUL
49;SRAM
50;TOPEAK
51;TUBOLITO
52;ZEFAL
